edge,chemical,development,flower,hormone-aba-iaa-ga-br,hormone-ja-sa-ethylene,leaf,light,nutrients,root,rosette,seed,seedling1wk,seedling2wk,shoot,stress-light,stress-other,stress-pathogen,stress-salt-drought,stress-temperature,wholeplant,wt,avgwt
AT3G12580-AT5G05410,0.0337399223059712,0.0369128518634272,0.0625877532477356,0.0660990632520245,0.0277879550517615,0.0241831336810727,0.0404675326389089,,0.0175187731394203,0.0229677622578059,0.0263362564412168,0.0443665273217701,0.030924169813411,0.0178616455611361,0.0596987012291386,0.0785027349634546,,,0.0423869651017646,0.0220818535338793,0.0785027349634546,0.03849550596493523
AT3G12580-AT4G25480,,,,,0.0258910527678611,,,,,,,,,,,,,,,,0.0258910527678611,0.0258910527678611
AT3G12580-AT4G34000,,,,,,,0.0319610127292359,0.0378443426137566,,0.043905472696772,,0.0309954541300055,,0.0233080612899732,,,,,0.0494630683852214,,0.0494630683852214,0.0362462353074941
AT2G26150-AT3G24500,0.0798599815383898,0.0503539301555667,0.274832341705506,0.0487255020554197,0.0657172571725396,0.0892760095280695,0.096000197629844,0.0535068868515429,0.0510185238023969,0.264810405304734,0.0410081784105268,0.0671302275657899,0.0495626660453632,0.0485750724946669,0.18994013722648104,0.10752468248172804,0.0878012781648455,0.0935036861880146,0.11070696653765401,0.0762596804387498,0.274832341705506,0.09730568056489143
AT2G26150-AT3G22840,,,,,,,0.0249287657651786,,,,,0.0266100758541096,,0.0154314101996071,0.0605085145197189,,,,,,0.0605085145197189,0.031869691584653546
AT2G26150-AT2G47180,,,,,,,0.0286078696070855,,,,0.0300491927455954,0.0238161431590158,,,0.0427521943688123,,,,0.0265320017099434,0.0269860610512573,0.0427521943688123,0.029790577106951623
AT2G26150-AT3G09640,,,,,,,,,,,,,,,0.0265809086837907,,,,,,0.0265809086837907,0.0265809086837907
AT5G12030-AT5G16820,,,,,,,,,,,0.0266593722564923,,,,,,,,,,0.0266593722564923,0.0266593722564923
AT5G05410-AT5G52310,,0.017331671109312,,0.0266347477226596,,0.0264852353421015,0.0426180841232604,,,0.0297215667018483,0.0434406994903939,0.0309993380750216,0.0307232755638001,0.0170484069617767,0.0512550956726159,,,0.0706072682597109,0.0442029306756303,0.0212848557497404,0.0706072682597109,0.03479639811137473
AT5G05410-AT5G59720,0.0275768649591837,,,0.0205700653446819,,,,,,,,0.014096225461696999,,,0.0425167830535602,,,,0.0309705798682641,,0.0425167830535602,0.027146103737477386
AT5G05410-AT5G52300,,,,0.0215489233297036,,,0.0285216900554626,,,,0.0471826659763631,0.0188596277090547,0.0219887136279682,,,,,,,,0.0471826659763631,0.02762032413971044
AT1G14920-AT4G25420,,,,,,,,,,,,0.0181807633650736,,,,,,,,,0.0181807633650736,0.0181807633650736
AT2G47730-AT3G16770,,,,,,,,,0.0181948887359356,,,,,,,,,,,,0.0181948887359356,0.0181948887359356
AT1G62380-AT3G20770,,,,,0.0265717640458225,,,,,,,,,,,,,,,,0.0265717640458225,0.0265717640458225
AT1G10170-AT4G39030,,,,,,,,,,,,,,,,,,,,0.0174663025672337,0.0174663025672337,0.0174663025672337
AT2G47180-AT5G16820,,,,,,,,,,,0.0248982157617384,,,,,,,,,,0.0248982157617384,0.0248982157617384
AT5G05730-AT5G60890,0.0339727373514871,,,,,,,,,,,,,,,,,,,,0.0339727373514871,0.0339727373514871
AT1G72770-AT5G67300,,,,0.0266036056298303,,0.0208532425641756,0.0246138752199981,,,,,0.0137284093213011,,,,,,,,,0.0266036056298303,0.021449783183826274
AT1G12860-AT5G53210,0.0295797884210513,0.0315543054206102,0.0268502737523718,,,,0.0371538552453136,0.0339578347827757,,0.0362709077598126,0.0352443695347949,0.0330186943187445,0.0274838576877929,0.0240568857633098,0.0410288220104614,,,0.0343558094402773,0.0413658511116344,,0.0413658511116344,0.033224711942226946
AT1G42990-AT5G20990,,,,,,,,,,,,,,,,,0.0379731176659241,,,,0.0379731176659241,0.0379731176659241
AT1G08560-AT4G32730,,,0.0309670679542452,,,,,,,,,,,,,,,,,,0.0309670679542452,0.0309670679542452
AT1G08560-AT5G11510,0.0694570291651897,0.28298588829,0.0676965573042448,0.219812209730477,0.0248001027023802,0.0336122873074681,0.23321399328699,0.0510717743952613,0.0546187255823482,0.139700395400914,0.047558882480144005,0.06859893572061401,0.0491301809816077,0.0545713164791324,0.0689857614955277,0.0543407807934987,,0.0559934999469796,0.0346394015841457,0.0493850985191073,0.28298588829,0.08737751690347527
AT1G69120-AT5G60910,,,,,,,,,,,,,,0.0184982457275433,,,,,,,0.0184982457275433,0.0184982457275433
AT1G69120-AT3G54340,,,,,,,,,,,,,,0.0163317882893291,,,,,,,0.0163317882893291,0.0163317882893291
AT1G69120-AT5G20240,0.0373367107103157,,0.022673374479034,,,,,,,,,,,0.0755096713827767,,,,,,,0.0755096713827767,0.0451732521907088
AT1G69120-AT5G61850,,,,,,,,,,,,,,0.0148270694113035,,,,,,,0.0148270694113035,0.0148270694113035
AT1G69120-AT5G03840,,,,,,,,,,,,,,0.014282366975658,,,,,,,0.014282366975658,0.014282366975658
AT2G43360-AT3G54320,,0.0390945950936533,,0.0289727998067867,0.0248672740465021,,,,0.0391381013807822,,0.0763948362544613,,,,,,,,,,0.0763948362544613,0.04169352131643712
AT2G43360-AT3G54320,,,,0.0223609748928147,,,,,,,0.0723011632298875,,,,,,,,,,0.0723011632298875,0.0473310690613511
AT4G37750-AT5G60690,0.0294013969175711,0.0289271247109663,0.0489353040375656,,0.0512449475731809,0.029348097181077008,0.0206895051357094,,,0.0330982247979084,,0.0292205966036823,0.0260418436670489,0.0263372308285817,,,,,,0.0388641625829015,0.0512449475731809,0.03291894854874483
AT2G33860-AT2G37630,0.0286516646634975,0.0269992655352021,0.051990591123669994,,0.0411519531789225,0.0358827254242321,,,,0.0235276381996441,0.0322909471822886,0.0194102200169638,0.0281234688192504,,0.0363393563585314,0.061198457865405995,,,0.0376302203144738,0.0203073047070834,0.061198457865405995,0.03411567795301273
AT2G33860-AT2G45190,,,0.0322895019935327,,0.027397933709775,,,,,,0.0377042023260633,,,,,,,,,,0.0377042023260633,0.03246387934312367
AT2G33860-AT4G36930,,,0.0400237859983803,,,,,,,,0.0425789641481968,,,,,,,,,,0.0425789641481968,0.04130137507328855
AT2G42840-AT4G21750,0.04838787026456401,0.0370442078165607,0.0757939149512252,,,0.0221311610619024,,0.051533905198704,,0.030284312346293,,0.029627216793788998,0.0406568051973702,,0.0262610601131524,0.0832729163586778,,0.0375583964586719,,0.0259960947609379,0.0832729163586778,0.04237898844348737
AT2G15890-AT4G26150,,,,,,,,,,,,,,,0.0406726983538014,,,,,,0.0406726983538014,0.0406726983538014
AT3G22840-AT5G11260,0.0443011562721659,0.0328448360504826,0.107564228164691,,,0.0339168342940828,0.0653677102373221,,0.027150519857112,0.0325435231608691,,0.0430421768965052,0.0339163293459007,0.0314233769172261,0.0852564677165238,,,0.0324902204116516,0.0708757524482389,0.034107353565270004,0.107564228164691,0.04820003466700299
AT2G19190-AT4G01250,,,,,0.025589802600424,,,,,,,,,,,,,,,,0.025589802600424,0.025589802600424
