edge,chemical,development,flower,hormone-aba-iaa-ga-br,hormone-ja-sa-ethylene,leaf,light,nutrients,root,rosette,seed,seedling1wk,seedling2wk,shoot,stress-light,stress-other,stress-pathogen,stress-salt-drought,stress-temperature,wholeplant,wt,avgwt
ATCG00020-ATMG00160,,,,,,,,,,0.18778187754267125,,,,,,,,,,,0.18778187754267125,0.18778187754267125
ATCG00140-ATMG00670,,,,,0.1578358094945509,,,,,0.184803731825575,,,,,,,,,,,0.184803731825575,0.17131977066006293
ATCG00140-ATMG00070,,,0.2189732712765529,,,,,,,,,,,,,,,,,,0.2189732712765529,0.2189732712765529
ATCG00560-ATMG00070,,,,,,,,,,0.14686103995107436,,,,,,,,,,,0.14686103995107436,0.14686103995107436
ATCG00710-ATMG00670,,,,,0.1603238841197238,0.18510342504581284,,,,,,,,,,,,,,,0.18510342504581284,0.17271365458276833
ATCG00340-ATMG00660,,,,,,,,,,,0.3102948043323085,,,,,,,,,,0.3102948043323085,0.3102948043323085
ATCG00430-ATMG00120,,,,,,,,,0.17384083876014889,,,,,,,,,,,,0.17384083876014889,0.17384083876014889
ATCG00430-ATMG00740,,,,,,,,,0.1338903898571259,,,,,,,,,,,,0.1338903898571259,0.1338903898571259
ATCG00510-ATMG00660,,,,,,,,,,0.2508827234967033,0.3460225876057394,,,,,,,,,,0.3460225876057394,0.29845265555122136
ATCG00500-ATMG00660,,,,,,,,,,,,,,,,,,,0.3951536944806118,,0.3951536944806118,0.3951536944806118
ATCG00500-ATMG00670,,,0.1859880436092433,,,,,,,,,,,,,,,,,,0.1859880436092433,0.1859880436092433
ATCG00500-ATMG00630,,,0.16406512104586715,,,,,,,,,,,,,,,,,,0.16406512104586715,0.16406512104586715
ATCG00670-ATMG00660,,,,,,,,,,,,,,,,0.3354276335367519,,,,,0.3354276335367519,0.3354276335367519
ATCG00670-ATMG00690,,,,,,,,,,,,,0.2265444955629464,,,,,,,,0.2265444955629464,0.2265444955629464
ATCG00380-ATMG00660,,,,,,,,,,,,,,,,0.3037888113845299,,,,,0.3037888113845299,0.3037888113845299
ATCG00820-ATMG00660,,,,,,,,,0.2944250532797002,,,,,,,,,,,,0.2944250532797002,0.2944250532797002
ATCG00770-ATMG00070,,,0.2370983454433994,,,,,,,,,,,,,,,,,,0.2370983454433994,0.2370983454433994
ATCG00350-ATMG00660,,,,,,0.19133739817455545,,,,,,,,,,,,,,,0.19133739817455545,0.19133739817455545
ATCG00180-ATMG00660,,,,,,,0.2259045835255996,,,0.2311976654726229,,,,,,,,,,,0.2311976654726229,0.2285511244991113
ATCG00270-ATMG00680,,,,,,,,,0.08299951567615835,,,,,,,,,,,,0.08299951567615835,0.08299951567615835
ATCG00270-ATMG00870,,,,,,,,,0.09382129680397444,,,,,,,,,,,,0.09382129680397444,0.09382129680397444
ATCG00360-ATMG00660,,0.14155887565758254,,,,,0.22159838907231752,,,,,,0.2729345254567198,,,,,0.2486208851847424,,,0.2729345254567198,0.22117816884284056
ATCG00360-ATMG00670,,,,,,,,,,,,,,,,,,,0.40278236574046855,,0.40278236574046855,0.40278236574046855
ATCG00700-ATMG00660,,,,0.17713462040604602,,,,,,,,,,,,,,,,,0.17713462040604602,0.17713462040604602
ATCG00700-ATMG00260,,,,,,,,,,,,0.09566737286217043,,,,,,,,,0.09566737286217043,0.09566737286217043
ATCG00170-ATMG00660,,,,,,,0.21946674627649976,,,,,,,,,,,,0.42105920969079336,,0.42105920969079336,0.32026297798364656
ATCG00210-ATMG00120,,,,,,,0.1183917581907259,,,,,,,,,,,,,,0.1183917581907259,0.1183917581907259
ATCG00210-ATMG00400,,,0.15732679050652032,,,,,,,,,,0.1261034110791086,,,,,,,,0.15732679050652032,0.14171510079281446
ATCG00210-ATMG00740,,,,,,,,,,,,0.08690394822896808,,0.11425152178572102,,,,,,,0.11425152178572102,0.10057773500734454
ATCG00690-ATMG00670,,,,,,0.21051789043638056,,,,,,,,,,,,,,,0.21051789043638056,0.21051789043638056
ATCG00690-ATMG00120,,,,,,,,,,,0.3252961116528762,,,,,,,,,,0.3252961116528762,0.3252961116528762
ATCG01010-ATMG00120,,,,,,,,,,,,,0.1142673994967396,,,,,,,,0.1142673994967396,0.1142673994967396
ATCG01010-ATMG00400,,,,,,,,,,,0.3314564976964167,,,,,,,,,,0.3314564976964167,0.3314564976964167
ATCG00730-ATMG00650,,,,0.16100088890049574,,,,,,,,,,,,,,0.2237853302388162,,,0.2237853302388162,0.192393109569656
ATCG00730-ATMG00110,,,,,,,0.10815679832597123,,,,,,,,,,,,,,0.10815679832597123,0.10815679832597123
ATCG00730-ATMG00120,,0.12786202915164085,0.2069510389791689,0.1675301790917227,,,,,,,,0.15078553179588056,0.13415923966367285,0.1668901015118776,,,,,,,0.2069510389791689,0.1590296866989939
