edge,chemical,development,flower,hormone-aba-iaa-ga-br,hormone-ja-sa-ethylene,leaf,light,nutrients,root,rosette,seed,seedling1wk,seedling2wk,shoot,stress-light,stress-other,stress-pathogen,stress-salt-drought,stress-temperature,wholeplant,wt,avgwt
ATCG00350-ATMG00660,,,,,,,,,,344.66983,,,,,,,,,375.9641,,375.9641,360.316965
ATCG00350-ATMG00670,,,,,359.54712,419.9099,155.446,,,976.3403,236.22276000000002,,,320.9541,,,,,1306.1338,,1306.1338,539.2219971428572
ATCG00720-ATMG00160,,,175.15755,,,,,,521.10406,,,,,,,,,,,,521.10406,348.130805
ATCG00720-ATMG00690,,,257.04247999999995,,,,,,,,,,,,,,,,,,257.04247999999995,257.04247999999995
ATCG00720-ATMG00070,,,,,,,,,,,,,,,,144.66722,,,,,144.66722,144.66722
ATCG00530-ATMG00670,,,,,261.282,,,,,187.04568,,,,,,,,,,,261.282,224.16384
ATCG00530-ATMG00070,,,,,,,,,549.5293,,,,,,,,,,,,549.5293,549.5293
ATCG00280-ATMG00660,,,,,,,,,,111.11295,,,,,,,,,,,111.11295,111.11295
ATCG00280-ATMG00630,,,,,,,,593.2481700000002,,,,,,,,,,,,,593.2481700000002,593.2481700000002
ATCG00280-ATMG00670,,,,,,,232.1264,,,598.3077400000002,,,,744.12854,,,,,1162.1267,,1162.1267,684.1723450000002
ATCG00280-ATMG00070,,,,,,,,,473.08694,,,,,,,,,,,,473.08694,473.08694
ATCG00130-ATMG00630,,,,,,,,314.5012200000001,1523.5541,,869.5038,,,,,,,,,,1523.5541,902.5197066666666
ATCG00130-ATMG00160,,,,,,,,,,271.2357,,,,,,,,,,,271.2357,271.2357
ATCG00130-ATMG00670,,,,,321.3931,,,,,501.57855,,,,,,,,,,,501.57855,411.485825
ATCG00130-ATMG00650,,,,,,,,,374.91953,,,,,,,,,,,,374.91953,374.91953
ATCG00520-ATMG00630,,,,,,,,,585.3458,,,,,,,,,,,,585.3458,585.3458
ATCG00520-ATMG00670,,,,,557.89557,,,,,352.0403,,,,,,,,,,,557.89557,454.967935
ATCG00520-ATMG00740,,,,,,,,355.54962,,,,,,,,,,,,,355.54962,355.54962
ATCG00520-ATMG00650,,,,,,,,,257.27727999999996,,,,,,,,,,,,257.27727999999996,257.27727999999996
ATCG00520-ATMG00710,,,,,,,,,,,,,,,,,,,,109.34041,109.34041,109.34041
ATCG00270-ATMG00630,,,,,,,,561.3302,262.6709,,,,,280.0011,,,,,,,561.3302,368.0007333333333
ATCG00270-ATMG00160,,,,,,,,,,192.5695,,,,,,,,,,,192.5695,192.5695
ATCG00270-ATMG00670,,1330.908,,,210.56663999999998,584.9188,,,,759.3545,,,237.66523999999998,,,,,,,,1330.908,624.6826359999999
ATCG00270-ATMG00600,,,,,,,,,539.2247,,,,,,,,,,,,539.2247,539.2247
ATCG00270-ATMG00400,,,,,,,,,628.08594,,,,,,,,,,,,628.08594,628.08594
ATCG00270-ATMG00740,,,,,,,,199.51346999999998,,,,,,,,,,,,,199.51346999999998,199.51346999999998
ATCG00270-ATMG00870,,,193.96858,,,,,,1147.396,,,,,,,,,,,,1147.396,670.6822900000002
ATCG00270-ATMG00130,,,,,,,,,252.97954,,,,,,,,,,,,252.97954,252.97954
ATCG00270-ATMG00710,,,,,,,,,1140.4639,,,,,,,,,,,,1140.4639,1140.4639
ATCG00270-ATMG00680,,,,,,,,,833.2973,,,,,,,,,,,,833.2973,833.2973
ATCG00270-ATMG00260,,,,,,,,,270.52252000000004,,,,,,,,,,,,270.52252000000004,270.52252000000004
ATCG00150-ATMG00660,,,,,,,363.6798,,,412.5221,185.05075,,255.45367000000002,309.27542,,,,,615.36255,,615.36255,356.890715
ATCG00150-ATMG00630,,,,,,,146.85432,873.5271,,,,,150.27855,,,,,,,,873.5271,390.21999000000005
ATCG00150-ATMG00670,,,167.83522,,169.11314,,123.4606,,,153.43533,328.21384,,457.9025,,,,,,,,457.9025,233.32677166666667
ATCG00150-ATMG00400,,,,,,,,,404.05536,,,,,,,,,,,,404.05536,404.05536
ATCG00150-ATMG00740,,,,,,,,326.3482,,,,,,,,,,,,,326.3482,326.3482
ATCG00140-ATMG00660,,,,,,,,,,232.36526,,,,,,,,,,,232.36526,232.36526
ATCG00140-ATMG00630,,,,,,,,377.15533,888.4617300000001,,,,,,,,,,,,888.4617300000001,632.80853
ATCG00140-ATMG00670,,,,,266.47397,983.8425,,,,661.1025,,,,289.0017,,,273.81137,,,,983.8425,494.846408
ATCG00140-ATMG00050,,,,,172.78396999999995,,,,,,,,,,,,,,,,172.78396999999995,172.78396999999995
ATCG00140-ATMG00650,,,,,,,,,494.56597999999997,,,,,,,,,,,,494.56597999999997,494.56597999999997
ATCG00160-ATMG00660,,,,,,,116.88551000000001,,,,,,,,,,,,,,116.88551000000001,116.88551000000001
ATCG00160-ATMG00600,,,,,,,,,372.41547,,,,,,,,,,,,372.41547,372.41547
ATCG00160-ATMG00650,,,,,,,,,261.11505,,,,,,,,,,,,261.11505,261.11505
ATCG00300-ATMG00660,,,,345.82492,,,136.20529,,,581.1943,,,,,,,,,,,581.1943,354.4081700000001
ATCG00300-ATMG00670,,,,,,,155.86305,,,152.84082,,,,,,,,,,,155.86305,154.351935
ATCG00300-ATMG00070,,,,,,,,,351.3475,,,,,,,,,,,,351.3475,351.3475
ATCG00430-ATMG00660,,,,,,,,,,,,,177.56946000000005,,,,,,,,177.56946000000005,177.56946000000005
ATCG00430-ATMG00630,,,,,,,,,790.4458,,,,,,,,,,,,790.4458,790.4458
ATCG00430-ATMG00670,,,,,828.0047,388.59045,,,,,,,,,,,,,,,828.0047,608.2975749999998
ATCG00430-ATMG00720,,,,,,,,,279.3212,,,,,,,,,,,,279.3212,279.3212
ATCG00430-ATMG00600,,,,,,,,520.4503,417.13,,,,,,,,,,,,520.4503,468.79015
ATCG00430-ATMG00120,,,,,,,,,912.2658,,,,,,,,,,,,912.2658,912.2658
