source	target	clr	grnboost	tinge	aracne	wgcna	mrnet	prediction
AT2G26150	AT3G24500	32.094593	28765.184	0.648642	0.8851237221651959	0.303180393797249	0.274832341705506	1
AT1G56650	AT5G42800	28.15100300000001	11507.17	0.275088	0.40852179359716506	0.0593923319782858	0.188199711253208	1
AT1G74310	AT2G26150	42.27144600000001	36094.31	0.525246	0.8931830116923013	0.243525721954365	0.17353145381755095	1
AT4G25470	AT4G25490	42.072926	34644.54	0.524933	0.6947260782708625	0.155591983211552	0.406529616741265	1
AT1G01060	AT2G46830	59.979763	48115.207	0.800199	1.0717056662296285	0.433257012960871	0.718453121239276	1
AT2G14610	AT5G22570	20.710621	8320.062	0.16889	0.4398757689737668	0.0536273386904868	0.063885536368547	1
AT1G56650	AT5G54060	29.275515	22116.148	0.336979	0.5983527437926763	0.0643010249619636	0.098445622368749	1
AT1G19180	AT1G32640	20.118687	7858.1855	0.381933	0.5597943138496718	0.11013184945601197	0.310421349121304	1
AT3G17609	AT3G22840	16.90604	4265.6206	0.206219	0.7241487864388723	0.114796316212505	0.0994764342339539	1
AT1G69120	AT5G20240	24.261097	16636.713	0.22363200000000005	0.4439479195023859	0.0153103957465598	0.0755096713827767	1
AT3G54340	AT5G20240	30.38586	17808.12	0.458813	0.6261938189774411	0.10997721582141802	0.294863466926723	1
AT1G69120	AT3G54340	23.367777	6388.458000000001	0.122907	0.4268813496581467	0.0029501286894819396	0.017256297711577	1
AT4G25480	AT5G52310	21.012434	4601.7905	0.2804	0.7219689343544831	0.0822937753053733	0.14014787399672	1
AT2G46830	AT5G61380	14.939265	2435.9521	0.0	0.40482759132998347	0.0964447001727766	0.0901825537608137	1
AT1G01060	AT5G61380	22.26479	2522.6643	0.275984	0.3927769390229544	0.129214309848461	0.0801112428353919	1
AT4G13770	AT5G61420	27.761839	9839.132	0.423875	0.6648932457767334	0.13693688615229	0.291323624113227	1
AT1G01060	AT2G40080	31.259264	5902.2812	0.380856	0.5350579012908525	0.131829291357497	0.273457033973918	1
AT3G22840	AT5G11260	19.101795000000006	1696.3574	0.153418	0.32446402798535057	0.12647570050584	0.107564228164691	1
AT2G40080	AT2G46830	22.515022	2599.336	0.367504	0.4896175921396045	0.110181335615943	0.0817427411407387	1
AT1G32900	AT2G46830	19.070601	16107.136	0.509374	0.879874449363958	0.21281702108065	0.361605827322094	1
AT1G01060	AT2G21660	18.033899	7026.725	0.47042	0.6324393282607086	0.166609787474202	0.10594933781587597	1
AT4G25470	AT4G25480	30.924717	17853.186	0.437162	0.7362087376797121	0.0945540828283078	0.269996542464206	1
AT2G24570	AT4G31550	23.975901	2654.5884	0.4194520000000001	0.517401467562527	0.120679938592933	0.336672925269138	1
AT1G08560	AT5G11510	16.084597	13473.672	0.390128	0.5080822400069414	0.15505468894540195	0.28298588829	1
AT2G14560	AT3G56400	22.501108	10476.168	0.465828	0.5714060372589912	0.147370424092111	0.106716120138106	1
AT2G30250	AT5G59820	12.099776	831.91986	0.462794	0.0	0.153469871966822	0.114648229863244	1
AT1G01060	AT1G32900	18.085289000000003	17853.488	0.525059	0.8669362263615326	0.209433956888318	0.138212056224256	1
AT2G21660	AT2G46830	14.084422	2338.112	0.474678	0.6287752688931482	0.118284634612059	0.150739534832749	1
AT1G19180	AT1G27730	16.694471	15563.48	0.661428	0.7391444161147628	0.283516631912723	0.37805859778076895	1
AT1G56650	AT4G14090	27.959621	16522.88	0.303874	0.6180103947857045	0.0496808634319516	0.077699554394856	1
AT1G56650	AT5G17220	26.928074	17151.643	0.369241	0.4865067546234924	0.0954822367239285	0.267972487852924	1
AT5G07690	AT5G23010	25.682468	6989.7856	0.0	0.3207903072703041	0.12579053740752802	0.10540626560983	1
AT2G33380	AT2G46680	24.353714	5155.791	0.281569	0.4486607604618637	0.0634776998519734	0.20744764259582105	1
AT2G42530	AT4G25480	21.147354	6785.3319999999985	0.336235	0.7022333482788516	0.0710972577983802	0.0792505240253458	1
AT3G54340	AT4G18960	19.045988	2359.885	0.244551	0.44362945686897737	0.00293358578951411	0.0582517261860094	1
AT2G14610	AT5G06960	9.886962	440.30783	0.0	0.0	0.00318726802278937	0.0223905307961305	1
AT4G34160	AT4G37750	21.787354	7603.9976	0.421149	0.6350176341615472	0.135588170403613	0.21803534876271	1
AT2G14610	AT3G12250	9.703717	196.13408	0.0	0.0	3.2649636122168e-05	0.000838220183405585	1
AT4G32880	AT4G37650	16.780949	2332.9229	0.0957613	0.3445395710394211	0.0108963051010386	0.0287765132469162	1
