edge,chemical,development,flower,hormone-aba-iaa-ga-br,hormone-ja-sa-ethylene,leaf,light,nutrients,root,rosette,seed,seedling1wk,seedling2wk,shoot,stress-light,stress-other,stress-pathogen,stress-salt-drought,stress-temperature,wholeplant,wt,avgwt
AT5G05410-AT5G52310,,,,,,,,,,,187.94316,,227.89497000000003,,,,,191.01521,,,227.89497000000003,202.28444666666667
AT5G05410-AT5G59720,,,,235.85196000000002,522.3061,393.6175,,,,,,,,,,,,,,,522.3061,383.92518666666666
AT5G05410-AT5G52300,,,,,,,,,,,187.88298,,182.9973,,,,,,,,187.88298,185.44013999999999
AT2G26150-AT3G24500,2853.5037,28765.183999999997,17326.143,2638.4937,8189.1196,27328.97700000001,14347.121000000001,5081.83,9982.318000000001,4803.794,3002.7925,10171.478000000001,3119.6584,6705.701,8774.312,5569.4263,9892.188,3994.7073,17393.95,7398.359,28765.183999999997,9866.952824999997
AT2G26150-AT3G09640,,,,261.53558,,,,,,,,,,,,,,,458.264,,458.264,359.89979
AT3G12580-AT5G05410,,1876.3965,479.95132,605.6451,,,253.87999,,,418.6643,,240.93436,528.16156,,,331.91275,,,,,1876.3965,591.9432350000002
AT3G12580-AT4G34000,,,,,,367.59525,,,,,,,,,,,,,,,367.59525,367.59525
AT2G40170-AT3G24650,,,,416.17776000000003,,,,,,,,,245.17677,,,,,,,,416.17776000000003,330.6772650000001
AT2G45660-AT5G10140,,,,,6611.283,3490.3590000000013,,,,,,,2605.1646,2255.875,,,,,,,6611.283,3740.6704
AT2G45660-AT4G24540,,,308.3583,,,,,,,,,,,,,,,,,,308.3583,308.3583
AT2G38470-AT3G26830,,,,,,,,,,,199.33907,,,,,,,,,,199.33907,199.33907
AT2G38470-AT3G52430,,,,,,,,276.0178,703.18085,,,,,,,,,,,,703.18085,489.599325
AT2G38470-AT5G07100,,,,,,,,,,,,,,254.46399,,,,,,,254.46399,254.46399
AT2G38470-AT5G60890,,,,214.69745,,,,,,,,,,,,,,,,,214.69745,214.69745
AT2G38470-AT3G15210,,,,,,,,,,346.52844,,,167.44852,207.26561,,,,,,,346.52844,240.41419
AT3G24310-AT5G53460,,,,,,,,,,,,,,,,,,822.16425,,,822.16425,822.16425
AT4G13770-AT5G07690,,1493.975,287.97937,,,1278.892,1201.3336,203.18438999999998,,690.82623,,2901.9033,1170.9537,1827.3721,,,1934.9397,387.31467000000004,1329.0399,124.49413,2901.9033,1140.9390838461536
