edge,chemical,development,flower,hormone-aba-iaa-ga-br,hormone-ja-sa-ethylene,leaf,light,nutrients,root,rosette,seed,seedling1wk,seedling2wk,shoot,stress-light,stress-other,stress-pathogen,stress-salt-drought,stress-temperature,wholeplant,wt,avgwt
AT1G20440-AT4G25490,,,,,6.45571,10.988912,5.162554,,,11.015027,,,4.545704,5.234212,4.2048309999999995,,6.861164,,8.249678999999999,7.3886660000000015,11.015027,7.0106459
AT1G20440-AT4G25480,3.9009739999999997,,,,,10.082027,4.8657650000000015,,,9.555475,,,,10.439208,,,7.233799,7.989109,9.402267,10.182667,10.439208,8.183476777777777
AT1G52690-AT5G05410,,8.666962,,8.990657,,,7.612171000000001,3.8614339999999996,3.890061,3.759349,4.141788,4.989361,7.234286999999999,4.518075,4.6799029999999995,,,6.974133999999999,,3.809197,8.990657,5.6251830000000025
AT2G42530-AT4G25480,10.297924,15.225439999999999,11.326077,10.032594,9.194608,16.604631,11.911825,3.334629,,16.245729,,10.55547,12.696114999999999,13.440559,11.964152,,11.847251,5.075903,11.975971000000001,21.147354,21.147354,11.933896
AT2G42540-AT4G25490,,,,,5.35314,7.386313,,,,3.558553,,,,,,,3.42355,,4.678602,7.366642999999999,7.386313,5.294466833333333
AT2G42540-AT5G05410,,,,,,,,,,,,,5.613388,,,,,,,,5.613388,5.613388
AT2G42540-AT4G25480,7.362267,14.253587,8.904774,7.622296,7.718672,11.976695,6.063004,4.962307,,11.8977,,11.308684,8.755535,10.936796000000001,8.181347,,7.5365210000000005,4.8125849999999994,8.702846000000001,15.886829,15.886829,9.22837911764706
AT2G42540-AT4G25470,,,,,,4.078251,,,,,,,,3.9964510000000004,,,,,5.127278,6.818125,6.818125,5.00502625
AT1G09350-AT4G25480,3.9824550000000003,9.786635,,,12.987597000000001,18.398678,12.116454,6.180219999999999,,13.677735,,7.600331,6.305283,8.938822,7.563163999999999,,9.62701,21.0779,10.241195,20.452963,21.0779,11.262429466666667
AT1G04220-AT3G28910,,,4.034555999999999,,,,,,,,,,,6.8873809999999995,,,,,,,6.8873809999999995,5.4609685
AT1G01120-AT3G28910,,9.468867999999999,4.0452129999999995,,3.770418,,,,,,,8.128757,5.927207,6.774242999999999,5.929289,,,,3.495804,,9.468867999999999,5.942474874999999
AT1G44800-AT4G36540,,,,,,,,,3.901643,,4.918383,,,,,,,,,,4.918383,4.410012999999998
AT1G04240-AT4G25470,,,,,,3.5067160000000004,,,,4.381239,,,,3.985075,,,,,7.4167039999999975,,7.4167039999999975,4.8224335
AT1G04240-AT1G53230,,,3.814021,,,,,,,,,,,,,,,,,,3.814021,3.814021
AT1G04240-AT1G19220,,5.145375,,12.857917,,,,,4.944194,,,6.477207,,,,,,,,,12.857917,7.35617325
AT1G17550-AT5G67300,,,,3.9609129999999997,,,,,,,,,,,,,,,,,3.9609129999999997,3.9609129999999997
AT1G32640-AT3G16470,7.676344,,,,5.430257,9.857367,3.452404,,,10.840769,,,3.638126,4.0653120000000005,8.972816,3.7602339999999996,12.569643,,10.197759,7.411776,12.569643,7.322733916666667
AT1G32640-AT3G45140,,,,,6.630922999999999,7.542145,,,,8.557835,4.118762,,5.186826,,,,4.1354809999999995,,,5.815707,8.557835,5.998239857142857
AT1G32640-AT4G17490,4.510441999999999,6.820417,,,,,,7.2019350000000015,7.767819,,,4.657255,5.84361,7.261405,4.819381,5.628756,5.237471,6.149885,,4.5088870000000005,7.767819,5.867271916666668
AT1G32640-AT5G47220,7.013178999999999,6.908042,7.79396,,4.265089,8.141458,,4.219397,7.394450999999999,,,3.940875,8.740575,10.515711999999999,6.661741999999999,,7.323886999999999,9.073078,,7.49565,10.515711999999999,7.106221071428571
AT1G32640-AT1G72260,,,,3.7321760000000004,4.001819,,,,,,,4.789075,,,,,,,,,4.789075,4.174356666666667
AT1G32640-AT3G15210,6.350443,9.846507,9.335652,10.513592,4.414772,9.432411,5.2975400000000015,10.802742,8.839724,7.1831570000000005,,13.235794,9.222499000000001,11.801053,12.942875,5.5100940000000005,12.176405,9.765767,,13.410382,13.410382,9.448967166666666
AT1G32640-AT4G25470,,9.480818,5.375458,10.898991,,,,7.76807,11.851436999999999,,,9.807803,4.146542,5.384593,5.068723,,,8.287345,,,11.851436999999999,7.806977999999999
AT1G32640-AT3G23240,,,,,,3.673115,,3.9594089999999995,4.49684,3.7666169999999997,,,,,,,,5.716871,5.582341,,5.716871,4.532532166666667
AT1G52890-AT5G52300,,3.968614,,6.982958999999999,,,5.618973,,,,,,4.992668,5.189733,4.585415,,,6.9549389999999995,,3.543738,6.982958999999999,5.229629875
AT1G52890-AT3G45140,,,,,,,,3.5834660000000005,,,,,,,,,,,,,3.5834660000000005,3.5834660000000005
AT1G52890-AT5G51070,,5.738498,6.242389,,3.739087,6.9746479999999975,,4.471106,,4.624193,,,4.137378,4.874406,5.985504,4.012416,6.387733,6.8188710000000015,4.97234,6.9846850000000025,6.9846850000000025,5.425946714285714
AT1G28130-AT5G37020,,,,,,,3.8262940000000003,,,,,,,,,,,,,,3.8262940000000003,3.8262940000000003
AT1G62380-AT3G20770,,,,,4.520905,,,,,,,,,,,,,,,,4.520905,4.520905
AT1G23080-AT4G00220,,6.349627,,,,,,,,,,5.362984,,,,,,,,,6.349627,5.8563055
