,AUROC-250,AUPR-250,AUROC-500,AUPR-500,AUROC-750,AUPR-750,AUROC-1000,AUPR-1000,AUROC-1250,AUPR-1250,AUROC-1500,AUPR-1500,AUROC-1750,AUPR-1750,AUROC-2000,AUPR-2000
Top7-aracne,0.5701663000384912,0.14714720043308993,0.5955196920708237,0.19712708318256555,0.6176145708237106,0.24090076418367234,0.6225805783294841,0.25028280551097853,0.6341747209391839,0.27377479148853956,0.6362486932255581,0.2788292418794539,0.6429471189376444,0.29198906662401,0.6483743571978445,0.30232191073628323
Top7-mrnet,0.7734989799846034,0.3811617674790653,0.7935624903772133,0.4184900348277736,0.8090761778290991,0.43774639304113955,0.8147160142417242,0.44641100014771806,0.8202486037336412,0.4538539684730288,0.8238640762124712,0.45928509697605485,0.8278043879907621,0.46385149303195417,0.8312013433410317,0.4657061460377614
Top7-tinge,0.4997925,0.012823423725801834,0.5195344197459585,0.039381374265523184,0.5685803521939954,0.13156915285432652,0.5903683641262509,0.171262618300408,0.6330629320631254,0.2510208421981954,0.6635707881062357,0.30905715332704076,0.7014916127790608,0.3837440233711848,0.7507294515011548,0.4768883163778637
Top7-wgcna,0.783038194765204,0.3361336972571089,0.8020141801385681,0.3453725196494542,0.8102368687451886,0.3486477563155008,0.8166896901462665,0.34937538237145194,0.8218686046959199,0.35260887101226857,0.825033889530408,0.3539685704141721,0.8280820881447267,0.3553270882535661,0.8307770246343341,0.35524904175886857
Top7-genie3,0.7039895342571209,0.3344858839135624,0.7096126578137029,0.3588086097427919,0.7144800404157043,0.36603570517811745,0.7138858314087759,0.3708431166192132,0.7170446920708238,0.3749642329661185,0.7189738568129331,0.37957778260614017,0.7202726943802926,0.38191901216839136,0.7216168629715165,0.3842683717969656
Top7-RankAvg-Sorted,0.6769426202848345,0.045522743697409156,0.7175156456889915,0.0779868685784557,0.7255292561585835,0.11498653417507324,0.7334938760585066,0.1561393181653008,0.7804635373364126,0.22231955184635374,0.7641051549268667,0.2590694446999726,0.7700908468052348,0.3144708838808126,0.7752848258275596,0.37328369892773655
Top7-RankAvg-Reciprocal,0.7723059584295611,0.3295116667724879,0.7902280244418785,0.3766582864460023,0.8072689645881447,0.43356293808967716,0.8155436027713625,0.44088256178917007,0.8223739183987683,0.47096505720433324,0.8261743129330255,0.48379518408690714,0.8301538500769824,0.4970742415733837,0.8340129763279446,0.5171254367162842
Top7-RankAvg-ScaleSum,0.7804029541955351,0.3487654524338184,0.8049978310238647,0.4043746694126847,0.8198051289453426,0.4343378069514674,0.8302803310238644,0.4379626432370962,0.8359489280215551,0.45023930078873853,0.840143928021555,0.4565429622055813,0.8417103618167822,0.4696252537965947,0.8451808410315628,0.4752437951793973
Top7-ScaleSum-7,0.7691839745822009,0.13425796853437078,0.7871685008833269,0.1595597800156745,0.8001329199461161,0.1869005090223858,0.8083818678927825,0.18247451997286607,0.8132678955879525,0.19219687656798268,0.8164325565204544,0.19589224603979155,0.8196622786159806,0.19595172592072893,0.8216239521083275,0.198259264730589
Top7-ScaleLSum-7,0.7050783838338872,0.032176498477047163,0.7292542563412646,0.029923050231777607,0.7302080120290412,0.038568268156085495,0.7322807223058792,0.034107854387769726,0.7265209191400595,0.03238190092673352,0.7375570228654592,0.03138111661911619,0.7606265477771151,0.024259601748012574,0.8043336868086925,0.028943639091498607
