chemical,84773
development,121403
flower,97190
hormone-aba-iaa-ga-br,139473
hormone-ja-sa-ethylene,79810
leaf,140853
light,91733
nutrients,108865
root,107243
rosette,94148
seed,101316
seedling1wk,89767
seedling2wk,110230
shoot,125954
stress-light,88660
stress-other,129567
stress-pathogen,115903
stress-salt-drought,104363
stress-temperature,125730
wholeplant,82892
