chemical,104713
development,104478
flower,129041
hormone-aba-iaa-ga-br,114197
hormone-ja-sa-ethylene,95528
leaf,96834
light,93267
nutrients,166478
root,109312
rosette,95140
seed,130745
seedling1wk,85308
seedling2wk,91039
shoot,100473
stress-light,81726
stress-other,174458
stress-pathogen,116149
stress-salt-drought,137707
stress-temperature,132954
wholeplant,95591
