FEATS,NFEATS,AUROC,AUPR
Union-Max,12,0.5983369681573439,0.5105115799423788
all-scalelsum,6,0.5983369681573439,0.5105115799423788
clr,20,0.4812530290200088,0.3944308059214142
grnboost,20,0.55546867926739,0.47151130403175673
tinge,20,0.5463631455474072,0.4377517445686495
aracne,20,0.5466592239317878,0.4407036539843619
wgcna,20,0.6831645070752581,0.6224044080572129
mrnet,20,0.6192205632512635,0.5773488169609186
